Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30
95069.06210416667,100274.24354166667,77358.88033333332,88635.58900000004,86222.88799999998,90945.37985416668,86331.90735416669,85242.85329166662,97124.17916666664,82297.8,98453.22399999999,86243.59666666665,77771.96341666667,93060.85216666666,97356.73437499997,82766.62031250002,79312.17954166667,82128.88449999997,91993.9974166667,103325.70985416662,75800.43066666671,74317.64,93708.88916666666,80159.41666666666,99185.61666666668,93767.05725000007,75155.00266666674,73133.82022916664,81475.0577916667,91204.86399999996
83046.63029166669,79184.36815999998,77358.88033333332,88526.79414666665,86222.88799999998,80290.38016666668,80135.55650249997,78439.99816666667,81201.8337916667,82297.8,78015.0458333333,78345.60412666663,77771.96341666667,83113.511845,81724.73766666664,78897.76804166666,71653.36056249996,78570.09035416658,74637.50346666665,86004.1889166667,75800.43066666671,74317.64,69223.23696749998,79566.1004841667,90837.18227250001,84657.32035416666,75155.00266666674,73133.82022916664,74923.12696,71094.03079166666
76301.97966666667,78868.79635416662,76280.19566666665,81789.58412916666,85439.6382916667,77891.53419499999,77367.8422291667,77427.82857416665,78804.22562,79618.38454416662,78015.0458333333,75889.28066666666,77475.25854166664,83113.511845,74637.16165416669,78897.76804166666,71653.36056249996,75709.20090666664,74637.50346666665,81798.77304166667,75800.43066666671,74317.64,69223.23696749998,79376.10266666669,75859.34885999998,84657.32035416666,75155.00266666674,72502.68977999999,74923.12696,71094.03079166666
73398.44660416665,75355.63329166667,72484.21290999996,69338.41816000002,76644.24304166666,73872.74722916665,72314.9552916667,73942.52047416664,78745.02741666671,76909.15354166667,71081.58066666665,71876.15472916668,71919.58210666665,75840.77562499998,73522.16585416671,72128.68442166668,71653.36056249996,74907.9166666667,71843.67616666667,70685.28404166669,70346.21157000001,73954.95129166669,69223.23696749998,72474.41391666669,73946.11366666666,70540.5097783333,75155.00266666674,72502.68977999999,74470.88007166657,71094.03079166666
72435.83016666667,71564.1154166667,70609.4748933333,69338.41816000002,75068.30704166667,73872.74722916665,69309.20539666669,64615.08585499998,71663.20273333331,75230.66089416665,67821.70054166668,71876.15472916668,71919.58210666665,75365.79617666666,73522.16585416671,72128.68442166668,68759.19641666669,74255.33666666667,71239.33147916666,70685.28404166669,70346.21157000001,72785.79804166665,69223.23696749998,71284.95787999999,73946.11366666666,70540.5097783333,74547.0341666667,71569.66666666676,68270.43950000002,71094.03079166666
70482.12397916666,70493.04262666668,69171.39137166664,69338.41816000002,70604.12313916668,67903.69373333333,69309.20539666669,64615.08585499998,71663.20273333331,73377.60234666668,67821.70054166668,68848.41231999997,71919.58210666665,70323.77104666666,72433.01146666665,71035.56904166668,68759.19641666669,69860.09004166667,71239.33147916666,70685.28404166669,70346.21157000001,72785.79804166665,69223.23696749998,71284.95787999999,72341.81719999996,70540.5097783333,71813.86978833338,69788.11329166667,68270.43950000002,71094.03079166666
70482.12397916666,68050.56497916667,68611.39309833333,67591.136455,70604.12313916668,67903.69373333333,69309.20539666669,64615.08585499998,71663.20273333331,72481.11641999995,67821.70054166668,67112.20301,71730.91566666668,70323.77104666666,72148.70828999998,68454.58254166668,68759.19641666669,69860.09004166667,71239.33147916666,67291.66429166668,69946.04262,72785.79804166665,69223.23696749998,71284.95787999999,72341.81719999996,70540.5097783333,71813.86978833338,69788.11329166667,68270.43950000002,71094.03079166666
70482.12397916666,68050.56497916667,68611.39309833333,67591.136455,68523.31513333334,67903.69373333333,67337.20086666664,64615.08585499998,71255.66666666674,71892.54566666667,67821.70054166668,67112.20301,70168.3872183333,68593.25035999998,72148.70828999998,68454.58254166668,68759.19641666669,69860.09004166667,71239.33147916666,67291.66429166668,67014.83333333336,72785.79804166665,66899.85359999996,68258.15082666665,72341.81719999996,70540.5097783333,70413.6792916667,69788.11329166667,68270.43950000002,71094.03079166666
69151.7450416667,68050.56497916667,68611.39309833333,67591.136455,67977.77466666668,66397.96444000003,67337.20086666664,64615.08585499998,70462.66666666674,71892.54566666667,67821.70054166668,67112.20301,69006.57490666666,67493.91666666679,71309.19054166669,68454.58254166668,68759.19641666669,69860.09004166667,66698.96399666664,67291.66429166668,67014.83333333336,71669.20997916668,66899.85359999996,68258.15082666665,72341.81719999996,70540.5097783333,70172.31490666665,69788.11329166667,67888.76275333336,71094.03079166666
68503.61369666667,68050.56497916667,67563.78122666662,67591.136455,67977.77466666668,66397.96444000003,67337.20086666664,64615.08585499998,67505.4876183333,68489.73302000003,67821.70054166668,67112.20301,69006.57490666666,67262.91666666679,71309.19054166669,68454.58254166668,68759.19641666669,69645.13184,66698.96399666664,67291.66429166668,67014.83333333336,71669.20997916668,66899.85359999996,68258.15082666665,72094.73800666665,68317.0545,70172.31490666665,67998.46406249999,67888.76275333336,69073.77341666669
67119.8114225,68050.56497916667,67563.78122666662,67591.136455,67977.77466666668,66397.96444000003,67337.20086666664,64615.08585499998,67505.4876183333,68489.73302000003,67821.70054166668,67112.20301,67468.42474666664,67262.91666666679,71309.19054166669,68454.58254166668,68759.19641666669,69645.13184,66140.55416666667,67291.66429166668,67014.83333333336,71669.20997916668,66899.85359999996,66354.47780416666,72094.73800666665,67498.46941333331,67503.46666666666,67193.684535,67888.76275333336,69073.77341666669
