Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,Test 31,Test 32,Test 33,Test 34,Test 35,Test 36,Test 37,Test 38,Test 39,Test 40,Test 41,Test 42,Test 43,Test 44,Test 45,Test 46,Test 47,Test 48,Test 49,Test 50
79428.06410416668,106432.38424999996,113625.50800000005,90017.13199999997,85966.29797916672,112341.86562499998,92382.91666666656,118560.41666666642,80050.02291666667,72223.80454166666,96205.91666666654,79978.00699999997,77317.02166666668,77736.38966666664,91581.89691666671,99712.1829166667,69856.71666666666,85088.1156666667,101703.16800000003,123294.29375000003,76546.75241666664,98600.52,84078.04166666667,113695.56049999998,79054.74529166667,95840.96,100369.69670833326,106737.04447916662,72403.77245833329,98229.41666666651,95044.14833333339,92804.70166666669,108585.39843750003,83928.98966666666,93588.40104166672,101502.31129166669,77990.96974999997,86311.5619166667,92645.53599999995,105744.83541666668,94372.74354166655,91157.40466666671,89365.15410416664,102025.44791666674,71638.91666666674,92172.77825,77158.21733333336,97289.90399999994,73897.4166666667,82505.73125
73044.54138666666,77418.16666666667,79086.77504166665,76894.14193166661,81141.95666666668,87346.53459499995,92382.91666666656,78333.18117666662,72829.10938666666,72223.80454166666,96205.91666666654,79978.00699999997,77317.02166666668,77736.38966666664,79641.46372916661,67724.91666666677,69856.71666666666,74338.88579166666,75075.5346866667,88130.16666666658,76546.75241666664,77702.42204166671,84078.04166666667,105074.27091666656,72736.8377916667,84972.73404166664,79794.66316666665,90858.25141666667,72403.77245833329,81018.54561750003,76552.01004166668,78338.98552666666,82856.30189999995,80471.41666666666,77552.75354166668,76143.26459916666,69859.61672916668,85273.53979166663,92645.53599999995,77940.81191666666,94372.74354166655,82892.14366666667,82464.28966666663,79429.38584000002,71638.91666666674,89815.41885416668,77158.21733333336,95751.94385416666,73897.4166666667,74295.70779166665
72443.5366675,75101.97637666664,76267.76561416665,76894.14193166661,70335.41065333333,81219.10891666666,91666.8179166667,78333.18117666662,72144.89652,72223.80454166666,92557.5437691667,79978.00699999997,77317.02166666668,77736.38966666664,79641.46372916661,67724.91666666677,69856.71666666666,74338.88579166666,75075.5346866667,88130.16666666658,76546.75241666664,76211.40978000002,77377.72520666666,79150.38797916664,72736.8377916667,78339.09547916667,75659.65854166665,79939.4797925,72403.77245833329,78334.65366666662,75415.59902000001,71776.09401333332,82856.30189999995,74207.21458666667,72054.01994666665,76143.26459916666,69859.61672916668,72073.58061666664,82889.70535999998,77940.81191666666,94372.74354166655,82892.14366666667,75255.77966666668,79429.38584000002,71638.91666666674,80910.49534,77158.21733333336,95071.01885416666,73897.4166666667,74295.70779166665
72443.5366675,71258.71129166667,76267.76561416665,69161.64762500001,70335.41065333333,81219.10891666666,84282.51422916663,78333.18117666662,72144.89652,70130.66084916664,92557.5437691667,69843.13642666668,77317.02166666668,73160.23636666665,79641.46372916661,67724.91666666677,69856.71666666666,74338.88579166666,75005.50222916664,73262.7402291667,76546.75241666664,74239.62928000001,77377.72520666666,79150.38797916664,72414.10754166669,78339.09547916667,75659.65854166665,76921.08416666667,72403.77245833329,78334.65366666662,74273.24170666667,69412.31691666669,82856.30189999995,69328.66255416666,72054.01994666665,74130.45249999998,69859.61672916668,72073.58061666664,82889.70535999998,76270.57665666667,72683.5180416667,82892.14366666667,73359.2263875,76294.49034666663,71638.91666666674,75727.02645833338,69015.87379166667,80083.02766666672,73897.4166666667,74295.70779166665
72443.5366675,71258.71129166667,76267.76561416665,69161.64762500001,70335.41065333333,73666.84692000003,78521.87116666666,77062.86960750003,71322.73884166664,70130.66084916664,92557.5437691667,69843.13642666668,75954.22916666664,72227.9125,69597.85085416665,67724.91666666677,69856.71666666666,74338.88579166666,74339.50034416666,73262.7402291667,70428.02333666665,74239.62928000001,70154.06118916665,70767.39733333336,69590.27316666671,65743.22735416665,72414.23891666667,72820.30989416665,72403.77245833329,78334.65366666662,74273.24170666667,69412.31691666669,78109.61754166668,69328.66255416666,72054.01994666665,74130.45249999998,69112.28391666668,72073.58061666664,72640.51474999999,75237.88466666666,72683.5180416667,77417.66666666667,73359.2263875,76294.49034666663,71638.91666666674,72549.48929333333,69015.87379166667,80083.02766666672,73897.4166666667,74295.70779166665
67443.06166666669,71258.71129166667,72419.61948416669,69161.64762500001,70335.41065333333,73666.84692000003,76928.56877999996,76197.95616666667,71322.73884166664,70130.66084916664,92557.5437691667,66259.77618666664,72914.40566666669,67174.38449666667,69597.85085416665,67606.16666666679,69856.71666666666,73836.70716666669,74339.50034416666,73262.7402291667,70428.02333666665,73239.37632166671,70154.06118916665,70767.39733333336,69372.78504166669,65743.22735416665,72414.23891666667,70227.33622000001,70327.08712000003,76330.05079166664,71125.21579166666,69412.31691666669,78109.61754166668,69328.66255416666,72054.01994666665,74130.45249999998,69112.28391666668,72073.58061666664,72640.51474999999,75237.88466666666,72673.9166666667,77417.66666666667,72006.95591666666,69173.08891666667,69752.91666666674,72549.48929333333,69015.87379166667,76871.73707416671,73897.4166666667,74122.2828966667
67443.06166666669,69116.21672916668,72419.61948416669,69161.64762500001,70335.41065333333,73579.7139166667,76928.56877999996,75740.01389999995,67879.07050000002,70130.66084916664,92557.5437691667,66259.77618666664,66972.31216916666,67174.38449666667,69597.85085416665,67606.16666666679,68660.11598000002,71192.20502666669,73949.67847916669,72760.62222916669,70428.02333666665,72252.61258666666,70154.06118916665,67430.94885916664,69372.78504166669,65743.22735416665,72414.23891666667,70227.33622000001,66969.8588225,76330.05079166664,71125.21579166666,68622.04687499999,76245.00004166664,68806.30890666666,71791.11416666671,68818.85265,69112.28391666668,67652.16666666677,72640.51474999999,72610.26941666668,70833.41666666674,74754.22604666666,72006.95591666666,69173.08891666667,69752.91666666674,72549.48929333333,69015.87379166667,73826.98541666665,73897.4166666667,72243.90091666668
67443.06166666669,69116.21672916668,66690.11333416664,69161.64762500001,70335.41065333333,72367.23283916668,74025.34785416668,75740.01389999995,67879.07050000002,70130.66084916664,80960.78204166668,66259.77618666664,66972.31216916666,67174.38449666667,69597.85085416665,67606.16666666679,68660.11598000002,69964.99766666668,72063.44857666668,72760.62222916669,70428.02333666665,72252.61258666666,70154.06118916665,67430.94885916664,69372.78504166669,65743.22735416665,69916.71868999995,70227.33622000001,66969.8588225,74499.29734,69239.34717999998,68622.04687499999,72040.39129166669,68806.30890666666,71791.11416666671,68818.85265,68981.94129333328,67652.16666666677,70341.37094,72251.40760416668,70833.41666666674,74754.22604666666,71752.28849999997,69173.08891666667,69752.91666666674,72549.48929333333,69015.87379166667,73826.98541666665,71128.19896000001,70819.87516666665
65163.16666666681,69116.21672916668,66690.11333416664,69161.64762500001,69856.54112666668,67357.58291666667,74025.34785416668,66728.18006999997,67879.07050000002,70130.66084916664,73470.15650666667,66259.77618666664,66972.31216916666,67174.38449666667,69597.85085416665,67606.16666666679,68660.11598000002,69964.99766666668,71945.15479166666,69993.46205999996,70428.02333666665,72252.61258666666,70154.06118916665,67430.94885916664,69372.78504166669,65743.22735416665,69916.71868999995,70227.33622000001,66800.31257416666,66614.09314666668,69239.34717999998,68622.04687499999,72040.39129166669,67725.55741666668,67583.85602666665,68818.85265,68981.94129333328,67652.16666666677,67784.1060466667,72251.40760416668,67122.91958666667,73214.37529166667,68694.57341666668,69173.08891666667,69752.91666666674,69688.08201000001,69015.87379166667,73084.70760666665,71128.19896000001,70803.63103000002
65163.16666666681,69116.21672916668,66690.11333416664,69161.64762500001,69856.54112666668,67357.58291666667,74025.34785416668,66728.18006999997,67879.07050000002,69156.97916666666,73470.15650666667,66259.77618666664,66972.31216916666,67174.38449666667,69597.85085416665,67457.41666666679,68660.11598000002,69964.99766666668,68100.47891666667,69993.46205999996,70428.02333666665,72252.61258666666,70154.06118916665,67430.94885916664,69372.78504166669,65743.22735416665,69916.71868999995,70227.33622000001,66800.31257416666,66614.09314666668,65099.104426666665,68240.18807333331,71959.32754166667,67725.55741666668,67583.85602666665,68818.85265,68981.94129333328,67652.16666666677,66587.23535416668,70624.76985416666,67122.91958666667,72589.50129166669,68694.57341666668,69173.08891666667,67087.82110416668,69688.08201000001,63964.100960000025,72686.07804166668,68722.82874999999,70803.63103000002
65163.16666666681,68997.99041666667,66690.11333416664,69161.64762500001,68521.905,67357.58291666667,71007.42447999999,66728.18006999997,67879.07050000002,69156.97916666666,71821.57403999999,66259.77618666664,66972.31216916666,67174.38449666667,69597.85085416665,66713.16666666679,67691.4906975,67351.66930666668,68100.47891666667,69993.46205999996,70428.02333666665,72252.61258666666,70154.06118916665,67430.94885916664,69372.78504166669,65743.22735416665,69916.71868999995,70227.33622000001,66800.31257416666,66614.09314666668,65099.104426666665,68240.18807333331,71959.32754166667,67725.55741666668,67583.85602666665,67160.20225000002,68487.35910000006,67652.16666666677,66587.23535416668,70624.76985416666,67122.91958666667,68796.64291666668,68694.57341666668,69173.08891666667,67087.82110416668,69688.08201000001,63964.100960000025,70943.5503541667,68722.82874999999,70126.18516666666
65163.16666666681,68997.99041666667,66690.11333416664,69161.64762500001,67932.95982666664,67357.58291666667,70247.41116666667,66728.18006999997,67879.07050000002,69156.97916666666,70568.99317416667,66259.77618666664,66972.31216916666,67174.38449666667,69597.85085416665,66713.16666666679,67691.4906975,67351.66930666668,68100.47891666667,69993.46205999996,69286.86866666665,72134.54629499998,70154.06118916665,67430.94885916664,68861.14879166668,65743.22735416665,68457.94191666668,70227.33622000001,60651.437093333356,66614.09314666668,65099.104426666665,68240.18807333331,71528.95760416666,67725.55741666668,67583.85602666665,67160.20225000002,68487.35910000006,66310.5631525,66587.23535416668,70624.76985416666,66477.51295999998,68796.64291666668,67188.66489666667,68812.91837999999,67087.82110416668,69688.08201000001,63964.100960000025,70943.5503541667,68722.82874999999,68215.12769999997
65163.16666666681,68997.99041666667,66690.11333416664,69161.64762500001,67932.95982666664,67357.58291666667,70247.41116666667,66728.18006999997,67879.07050000002,69156.97916666666,70153.11616666666,66259.77618666664,66972.31216916666,67174.38449666667,69597.85085416665,66713.16666666679,67691.4906975,67351.66930666668,68100.47891666667,69993.46205999996,69286.86866666665,72134.54629499998,70154.06118916665,66845.72596833334,67268.90654166669,65743.22735416665,68457.94191666668,69667.81972916669,60651.437093333356,66614.09314666668,65099.104426666665,66549.53572666667,71528.95760416666,67725.55741666668,67583.85602666665,67160.20225000002,68487.35910000006,66310.5631525,64442.86385416671,67527.73235416666,66477.51295999998,68796.64291666668,67188.66489666667,68812.91837999999,67087.82110416668,69688.08201000001,63964.100960000025,70244.95741333332,67030.02266666669,66706.47139999998
